,angle,dir_x,dir_y,dir_z,energy,tetta
0,90.0,-1.0,1.0,0.0,-21.71963717,135.0
1,86.98721249581666,-9.0,10.0,0.0,-21.71963684,131.98721249581666
2,8.130102354156005,3.0,4.0,0.0,-21.71963394,53.13010235415599
3,78.69006752597979,-2.0,3.0,0.0,-21.71963706,123.6900675259798
4,71.56505117707799,-1.0,2.0,0.0,-21.71963615,116.56505117707799
5,63.43494882292202,-1.0,3.0,0.0,-21.71963528,108.43494882292202
6,59.03624346792648,-1.0,4.0,0.0,-21.71963571,104.03624346792648
7,50.71059313749964,-1.0,10.0,0.0,-21.7196363,95.71059313749964
8,47.86240522611176,-1.0,20.0,0.0,-21.7196365,92.86240522611175
9,45.00000000000001,0.0,1.0,0.0,-21.7196361,90.0
10,42.137594773888274,1.0,20.0,0.0,-21.71963575,87.13759477388825
11,39.28940686250036,1.0,10.0,0.0,-21.71963405,84.28940686250037
12,30.963756532073536,1.0,4.0,0.0,-21.71963454,75.96375653207353
13,26.565051177078008,1.0,3.0,0.0,-21.7196331,71.56505117707799
14,18.434948822922035,1.0,2.0,0.0,-21.71963357,63.43494882292201
15,11.309932474020227,2.0,3.0,0.0,-21.71963399,56.309932474020215
16,8.130102354156005,3.0,4.0,0.0,-21.71963394,53.13010235415599
