,collinear_energy,delta,parallel_energy,perpendicular_energy,strain,E_-110,E_110
0,-21.34667296,-6.599999998968542e-06,-21.68111653,-21.68112313,-0.05,-21.68111653,-21.68112313
1,-21.36413787,2.6700000006485425e-06,-21.6976529,-21.69765023,-0.04,-21.6976529,-21.69765023
2,-21.37731604,9.190000000103282e-06,-21.70992344,-21.70991425,-0.03,-21.70992344,-21.70991425
3,-21.38640564,1.2449999999830652e-05,-21.71812171,-21.71810926,-0.02,-21.71812171,-21.71810926
4,-21.39165604,8.44000000199685e-06,-21.72249881,-21.72249037,-0.01,-21.72249881,-21.72249037
5,-21.39329127,6.799999994200334e-07,-21.72327259,-21.72327191,0.0,-21.72327259,-21.72327191
6,-21.39152061,-9.35999999995829e-06,-21.72065925,-21.72066861,0.01,-21.72065925,-21.72066861
7,-21.38655151,-1.9919999999729043e-05,-21.71486038,-21.7148803,0.02,-21.71486038,-21.7148803
8,-21.37857728,-3.6080000000993095e-05,-21.7060718,-21.70610788,0.03,-21.7060718,-21.70610788
9,-21.36778809,-5.790000000160944e-05,-21.69448734,-21.69454524,0.04,-21.69448734,-21.69454524
10,-21.354356,-7.804999999905249e-05,-21.68027802,-21.68035607,0.05,-21.68027802,-21.68035607
