,Unnamed: 0,Unnamed: 0.1,collinear_energy,energy,strain,E_110,E_-110,cell_length
0,0,0,-21.34664572,-21.68109201,-0.05,-21.68109201,-21.68110207,3.1153293
1,1,1,-21.36411055,-21.69762575,-0.04,-21.69762575,-21.69762763,3.14812224
2,2,2,-21.37728784,-21.70989232,-0.03,-21.70989232,-21.70989047,3.18091518
3,3,3,-21.38638409,-21.71809928,-0.02,-21.71809928,-21.71808935,3.21370812
4,4,4,-21.39164562,-21.72248807,-0.01,-21.72248807,-21.72248163,3.24650106
5,5,5,-21.39329127,-21.72327191,0.0,-21.72327191,-21.72327259,3.279294
6,6,6,-21.39152812,-21.72066574,0.01,-21.72066574,-21.72067533,3.3120869400000004
7,7,7,-21.3865631,-21.7148695,0.02,-21.7148695,-21.71488956,3.34487988
8,8,8,-21.37858841,-21.70608047,0.03,-21.70608047,-21.70611376,3.3776728200000004
9,9,9,-21.36779416,-21.6944916,0.04,-21.6944916,-21.694545,3.41046576
10,10,10,-21.35435346,-21.68027397,0.05,-21.68027397,-21.68034661,3.4432587000000003
